item_name,brand,price,seller_score,savings,has_units_sold,units_sold,watching
Rolex Datejust Stainless Steel Silver Dial Mens Automatic Watch 116200,Rolex,5842.5,4703,32,TRUE,4,87
Eterna Mens Adventic White Leather Strap GMT Automatic Watch 766041661273,Eterna,2611.0,4703,32,TRUE,4,87
Chronoswiss Timemaster 150 Automatic Black  Steel Mens Watch CH2733AZ31,Chronoswiss,1295.0,962,0,FALSE,0,14
Ebel 1911 Discovery  Chronograph Automatic Black dial Orange Bezel Brand New,EBEL,2500.0,216,0,FALSE,0,18
Rolex Datejust Mens SS Stainless Steel & 18K White Gold Jubilee Silver Dial 1601,Rolex,2599.98,216,0,FALSE,0,18
Rolex Datejust Mens Stainless Steel Watch Dark Silver Diamond Dial Jubilee Band,Rolex,2999.98,216,0,FALSE,0,18
IWC Portuguese Silver Dial Brown Leather Strap Mens Watch IW371480,IWC,13169.99,8669,20,FALSE,0,4
NEW ROLEX DAYTONA CERAMIC BLACK DIAL STAINLESS STEEL OYSTER BRACELET 116500LN,Rolex,16800.0,9974,0,FALSE,0,13
Victorinox Airboss Mach 9 Chronograph Automatic Stainless Steel Watch 241722,Victorinox,1255.0,323,0,FALSE,0,12
241660 Victorinox Swiss Army 42mm Automatic Chronograph Titanium Bracelet Watch,Victorinox,1899.99,4595,0,TRUE,2,33
Hublot Super B Black Magic Chronograph Automatic Mens Watch 1926NL3010,Hublot,4989.99,4595,0,TRUE,2,33
Longines Conquest Classic White Dial Automatic Mens Watch L27865763,Longines,2448.99,8669,44,FALSE,0,4
Victorinox Swiss Army Airbus Swiss Automatic Black Dial Analog Watch 241710,Swiss Army,1250.0,323,0,FALSE,0,19
Rolex GMT Master II Black Index Dial Oyster Bracelet 18kt Yellow Gold Mens Watch,Rolex,25994.99,323,0,FALSE,0,19
TAG HEUER MENS 41MM STEEL BRACELET & CASE SWISS QUARTZ WATCH WAY111ABA0928,TAG Heuer,1252.64,969,21,FALSE,0,1
Oris Mens Moon Pointer Black Dial Pro Diver Titanium Swiss Watch 76176827134SET,Oris,1962.0,969,21,FALSE,0,1
New Rolex Submariner Steel & Gold Black Dial 40 mm Automatic ref 116613LN,Rolex,10298.0,600,0,FALSE,0,7
Tag Heuer Aquaracer Black Dial Swiss Automatic Mens Watch WAN2110BA0822,Tag Heuer,1247.0,600,0,FALSE,0,7
Tag Heuer Monaco Mens Swiss Chronograph Automatic Watch CAW2111FC6183,Tag Heuer,3287.0,600,0,FALSE,0,7
Tudor Black Bay Heritage 79220B Automatic 41mm Steel Mens Bracelet Watch ,Tudor,2493.0,247,0,FALSE,0,26
VINTAGE Universal Geneve Aero Compax 224107 Steel Mens Chronograph Watch 375mm,No Brand,7499.0,2700,0,FALSE,0,27
Rado Ceramica Chronograph Mens Quartz Watch R21715162,Rado,1299.0,479,0,TRUE,2,47
NEW UBoat Classico AS 1 Stainless Steel Lefthook Automatic Mens watch 290000,U-Boat,1025.0,962,0,TRUE,1,77
Seiko Solar SS Chronograph GPS Controlled Black Dial Mens Watch SSE013,Seiko,1048.99,8669,41,TRUE,1,5
